id,Predicted
1,0
2,0
3,0
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,0
49,1
50,0
51,1
52,0
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,1
74,0
75,1
76,0
77,0
78,1
79,0
80,0
81,0
82,1
83,1
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,1
108,0
109,1
110,1
111,0
112,1
113,0
114,0
115,0
116,1
